%Lat	Lon	Elevation	Run dist 	Dist -20 km	Uplift rate 	Error 
						
%(deg N)	(deg E)	(m)	(km)	(km)	(mm/yr)	(mm/yr)
45.24111	-123.86056	16.054	551.58	32.53	1.38	0.44
						
45.23028	-123.86139	17.744	550.12	32.51	1.41	1.46
						
45.23	-123.86111	19.25	550.02	32.54	1.37	0.45
						
45.21833	-123.87389	15.834	548.08	31.58	1.4	0.45
						
45.20556	-123.89	9.018	546.14	30.36	1.37	0.44
						
45.18889	-123.90194	8.935	544.4	29.47	1.09	1.53
						
45.18417	-123.91778	4.541	542.6	28.24	0.89	0.44
						
45.14944	-123.95667	28.957	536.84	25.28	1.93	1.58
						
45.1425	-123.96861	48.67	535.63	24.36	1.64	0.45
						
45.13222	-123.96111	23.84	534.15	24.97	1.7	0.46
						
45.1225	-123.96444	29.579	532.55	24.73	1.6	0.45
						
45.08556	-123.95833	18.37	526.88	25.28	1.76	1.61
						
45.05889	-123.89444	131.004	520.75	30.34	0.73	1.59
						
45.03806	-123.91583	66.971	515.84	28.68	0.66	1.56
						
45.02472	-123.94472	12.572	512.81	26.42	1.17	1.53
						
45.02028	-123.95806	4.647	511.18	25.38	1.05	0.45
						
45.00639	-123.97778	33.351	508.41	23.83	0.66	0.45
						
44.99861	-123.99167	13.425	507.14	22.74	1.36	0.44
						
44.97028	-124.01222	10.813	503.05	21.13	0.6	1.41
						
44.96278	-124.01472	20.027	502.21	20.93	1.29	1.4
						
44.95861	-124.01444	44.132	502.52	20.96	0.91	1.4
						
44.95333	-124.01278	31.309	501	21.09	1.39	0.44
						
44.93694	-124.02167	42.536	498.95	20.38	1.23	0.44
						
44.92778	-124.0125	4.499	497.78	21.11	0.91	1.33
						
44.9225	-124.01361	11.365	497.05	21.02	1.04	1.32
						
44.91556	-124.00389	2.327	495.89	21.78	0.81	0.43
						
44.90111	-124.00639	3.917	494.21	21.58	1.18	0.43
						
44.89944	-124.00333	9.149	493.94	21.82	0.61	1.27
						
44.88111	-124.03139	20.7	490.92	19.6	1.2	0.42
						
44.85889	-124.03806	25.403	488.39	19.05	1.34	1.17
						
44.8375	-124.04917	13.139	485.86	18.15	1.44	1.12
						
44.83028	-124.06417	17.131	484.06	16.96	1.41	0.42
						
44.81	-124.06083	18.799	481.78	17.2	1.24	0.42
						
44.79611	-124.06417	31.392	480.3	16.92	1.1	0.41
						
44.77889	-124.07083	25.302	477.9	16.36	1.19	0.4
						
44.67944	-123.89056	128.43	25.02	30.45	0.15	0.9
						
44.67944	-123.86306	38.947	27.01	32.63	0.22	0.93
						
44.67556	-124.05861	38.372	463.66	17.13	1.2	0.39
						
44.66833	-123.81667	26.483	36.73	36.29	0.66	1.06
						
44.66806	-123.84889	13.337	29.51	33.73	0.62	0.97
						
44.66639	-123.80583	21.729	37.6	37.14	0.1	0.44
						
44.66	-123.80972	20.434	35.23	36.82	0.34	0.44
						
44.65444	-123.78861	29.269	39.58	38.48	0.12	0.42
						
44.65444	-123.81528	19.797	33.78	36.37	0.54	0.42
						
44.65	-124.04667	46.325	460.84	18.02	1.37	0.53
						
44.64333	-123.78333	29.638	40.83	38.88	0.47	0.45
						
44.64222	-123.13306	59.84	112.47	90.44	-0.02	1.78
						
44.64194	-123.11944	62.227	113.55	91.52	-0.12	0.51
						
44.64083	-123.10556	64.618	114.74	92.62	0.8	1.79
						
44.63833	-123.16944	64.481	109.43	87.55	0.03	1.75
						
44.63833	-123.10417	63.458	115.12	92.73	0.53	0.49
						
44.63806	-123.105	64.281	115.1	92.66	0.63	1.8
						
44.63806	-124.04167	54.979	3.73	18.38	0.94	0.41
						
44.63667	-124.05222	44.063	459.3	17.54	1.22	0.48
						
44.63611	-123.10556	65.585	115.73	92.61	0.48	0.51
						
44.63611	-123.18306	69.977	108.32	86.47	0.55	0.48
						
44.63611	-123.77583	29.122	42.15	39.46	0.55	1.13
						
44.635	-123.92472	4.268	18.16	27.65	0.74	0.43
						
44.63444	-123.10583	66.604	115.54	92.59	0.48	0.51
						
44.63417	-124.05194	43.059	459.07	17.56	1.24	0.39
						
44.63361	-124.0125	103.999	6.29	20.68	0.73	0.56
						
44.63222	-124.05694	42.174	458.62	17.16	1.17	0.37
						
44.63083	-124.05111	4.985	457.76	17.62	1.43	0.42
						
44.63056	-123.10583	66.358	116.47	92.59	0.48	1.81
						
44.63	-123.74778	38.458	44.83	41.67	0.51	0.45
						
44.62917	-124.05389	5.708	457.34	17.39	1.46	0.41
						
